,Year,Country,equities,real estate,fixed income,infrastructure,Total Investments
2343,2001,Greenland,0,0,0,0,0
2344,2002,Greenland,0,0,0,0,0
2345,2003,Greenland,0,0,0,0,0
2346,2004,Greenland,0,0,0,0,0
2347,2005,Greenland,0,0,0,0,0
2348,2006,Greenland,0,0,0,0,0
2349,2007,Greenland,0,0,0,0,0
2350,2008,Greenland,0,0,0,0,0
2351,2009,Greenland,0,0,0,0,0
2352,2010,Greenland,0,0,0,0,0
2353,2011,Greenland,0,0,0,0,0
2354,2012,Greenland,0,0,0,0,0
2355,2013,Greenland,2937617,0,0,0,2937617
2356,2014,Greenland,0,0,0,0,0
2357,2015,Greenland,0,0,0,0,0
2358,2016,Greenland,0,0,0,0,0
2359,2017,Greenland,0,0,0,0,0
2360,2018,Greenland,0,0,0,0,0
2361,2019,Greenland,0,0,0,0,0
2362,2020,Greenland,0,0,0,0,0
2363,2021,Greenland,0,0,0,0,0
2364,2022,Greenland,0,0,0,0,0
2365,2023,Greenland,0,0,0,0,0
2366,1998,Oman,0,0,0,0,0
2367,1999,Oman,0,0,0,0,0
2368,2000,Oman,0,0,0,0,0
2369,2001,Oman,0,0,0,0,0
2370,2002,Oman,0,0,0,0,0
2371,2003,Oman,0,0,0,0,0
2372,2004,Oman,0,0,4007145,0,4007145
2373,2005,Oman,0,0,4048700,0,4048700
2374,2006,Oman,0,0,4048091,0,4048091
2375,2007,Oman,0,0,4014483,0,4014483
2376,2008,Oman,0,0,3851156,0,3851156
2377,2009,Oman,0,0,0,0,0
2378,2010,Oman,0,0,0,0,0
2379,2011,Oman,0,0,0,0,0
2380,2012,Oman,0,0,0,0,0
2381,2013,Oman,57904582,0,0,0,57904582
2382,2014,Oman,69661298,0,0,0,69661298
2383,2015,Oman,47239490,0,270337,0,47509827
2384,2016,Oman,35649402,0,267046,0,35916448
2385,2017,Oman,37408496,0,288908,0,37697404
2386,2018,Oman,43381180,0,0,0,43381180
2387,2019,Oman,51289632,0,0,0,51289632
2388,2020,Oman,3614567,0,0,0,3614567
2389,2021,Oman,0,0,0,0,0
2390,2022,Oman,0,0,0,0,0
2391,2023,Oman,0,0,0,0,0
2392,1998,Kuwait,0,0,0,0,0
2393,1999,Kuwait,0,0,0,0,0
2394,2000,Kuwait,0,0,0,0,0
2395,2001,Kuwait,0,0,0,0,0
2396,2002,Kuwait,0,0,0,0,0
2397,2003,Kuwait,0,0,0,0,0
2398,2004,Kuwait,0,0,1003314,0,1003314
2399,2005,Kuwait,0,0,1009468,0,1009468
2400,2006,Kuwait,0,0,0,0,0
2401,2007,Kuwait,0,0,0,0,0
2402,2008,Kuwait,0,0,0,0,0
2403,2009,Kuwait,0,0,0,0,0
2404,2010,Kuwait,0,0,0,0,0
2405,2011,Kuwait,0,0,0,0,0
2406,2012,Kuwait,0,0,0,0,0
2407,2013,Kuwait,30081287,0,0,0,30081287
2408,2014,Kuwait,91663598,0,0,0,91663598
2409,2015,Kuwait,95974257,0,0,0,95974257
2410,2016,Kuwait,111146667,0,0,0,111146667
2411,2017,Kuwait,130264308,0,0,0,130264308
2412,2018,Kuwait,152907489,0,0,0,152907489
2413,2019,Kuwait,492370049,0,0,0,492370049
2414,2020,Kuwait,333470374,0,0,0,333470374
2415,2021,Kuwait,476880062,0,0,0,476880062
2416,2022,Kuwait,809371308,0,0,0,809371308
2417,2023,Kuwait,688722783,0,0,0,688722783
2418,1998,Mongolia,0,0,0,0,0
2419,1999,Mongolia,0,0,0,0,0
2420,2000,Mongolia,0,0,0,0,0
2421,2001,Mongolia,0,0,0,0,0
2422,2002,Mongolia,0,0,0,0,0
2423,2003,Mongolia,0,0,0,0,0
2424,2004,Mongolia,0,0,0,0,0
2425,2005,Mongolia,0,0,0,0,0
2426,2006,Mongolia,0,0,0,0,0
2427,2007,Mongolia,0,0,0,0,0
2428,2008,Mongolia,0,0,0,0,0
2429,2009,Mongolia,0,0,0,0,0
2430,2010,Mongolia,0,0,0,0,0
2431,2011,Mongolia,0,0,0,0,0
2432,2012,Mongolia,0,0,0,0,0
2433,2013,Mongolia,0,0,0,0,0
2434,2014,Mongolia,1418075,0,0,0,1418075
2435,2015,Mongolia,0,0,0,0,0
2436,2016,Mongolia,0,0,0,0,0
2437,2017,Mongolia,0,0,0,0,0
2438,2018,Mongolia,0,0,0,0,0
2439,2019,Mongolia,0,0,0,0,0
2440,2020,Mongolia,0,0,0,0,0
2441,2021,Mongolia,0,0,0,0,0
2442,2022,Mongolia,0,0,0,0,0
2443,2023,Mongolia,0,0,0,0,0
2444,1998,Mauritius,0,0,0,0,0
2445,1999,Mauritius,0,0,0,0,0
2446,2000,Mauritius,0,0,0,0,0
2447,2001,Mauritius,0,0,0,0,0
2448,2002,Mauritius,0,0,0,0,0
2449,2003,Mauritius,0,0,0,0,0
2450,2004,Mauritius,0,0,0,0,0
2451,2005,Mauritius,0,0,0,0,0
2452,2006,Mauritius,0,0,0,0,0
2453,2007,Mauritius,0,0,0,0,0
2454,2008,Mauritius,0,0,0,0,0
2455,2009,Mauritius,0,0,0,0,0
2456,2010,Mauritius,0,0,0,0,0
2457,2011,Mauritius,0,0,0,0,0
2458,2012,Mauritius,0,0,0,0,0
2459,2013,Mauritius,0,0,0,0,0
2460,2014,Mauritius,10960158,0,0,0,10960158
2461,2015,Mauritius,16679143,0,0,0,16679143
2462,2016,Mauritius,6931757,0,0,0,6931757
2463,2017,Mauritius,8278846,0,0,0,8278846
2464,2018,Mauritius,8134448,0,0,0,8134448
2465,2019,Mauritius,13827423,0,0,0,13827423
2466,2020,Mauritius,8625440,0,0,0,8625440
2467,2021,Mauritius,0,0,0,0,0
2468,2022,Mauritius,0,0,0,0,0
2469,2023,Mauritius,0,0,0,0,0
2470,1998,Slovenia,0,0,0,0,0
2471,1999,Slovenia,0,0,0,0,0
2472,2000,Slovenia,0,0,0,0,0
2473,2001,Slovenia,0,0,0,0,0
2474,2002,Slovenia,0,0,0,0,0
2475,2003,Slovenia,0,0,21671777,0,21671777
2476,2004,Slovenia,0,0,28065242,0,28065242
2477,2005,Slovenia,0,0,24109669,0,24109669
2478,2006,Slovenia,0,0,42651527,0,42651527
2479,2007,Slovenia,0,0,89592904,0,89592904
2480,2008,Slovenia,0,0,146429555,0,146429555
2481,2009,Slovenia,0,0,146507654,0,146507654
2482,2010,Slovenia,0,0,149758477,0,149758477
2483,2011,Slovenia,0,0,167184066,0,167184066
2484,2012,Slovenia,0,0,165256222,0,165256222
2485,2013,Slovenia,0,0,360434249,0,360434249
2486,2014,Slovenia,12230667,0,630656933,0,642887600
2487,2015,Slovenia,13081301,0,600173560,0,613254861
2488,2016,Slovenia,8206879,0,568806672,0,577013551
2489,2017,Slovenia,43260820,0,361708022,0,404968842
2490,2018,Slovenia,71308932,0,549614896,0,620923828
2491,2019,Slovenia,95606816,0,402308741,0,497915557
2492,2020,Slovenia,95110153,0,328507520,0,423617673
2493,2021,Slovenia,98438170,0,106905028,0,205343198
2494,2022,Slovenia,68393647,0,112776226,0,181169873
2495,2023,Slovenia,68563819,0,116515149,0,185078968
2496,1998,Ghana,0,0,0,0,0
2497,1999,Ghana,0,0,0,0,0
2498,2000,Ghana,0,0,0,0,0
2499,2001,Ghana,0,0,0,0,0
2500,2002,Ghana,0,0,0,0,0
2501,2003,Ghana,0,0,0,0,0
2502,2004,Ghana,0,0,0,0,0
2503,2005,Ghana,0,0,0,0,0
2504,2006,Ghana,0,0,0,0,0
2505,2007,Ghana,0,0,0,0,0
2506,2008,Ghana,0,0,0,0,0
2507,2009,Ghana,0,0,0,0,0
2508,2010,Ghana,0,0,0,0,0
2509,2011,Ghana,0,0,0,0,0
2510,2012,Ghana,0,0,0,0,0
2511,2013,Ghana,0,0,0,0,0
2512,2014,Ghana,2055391,0,0,0,2055391
2513,2015,Ghana,8595617,0,0,0,8595617
2514,2016,Ghana,1998343,0,0,0,1998343
2515,2017,Ghana,1763319,0,0,0,1763319
2516,2018,Ghana,993389,0,0,0,993389
2517,2019,Ghana,525539,0,0,0,525539
2518,2020,Ghana,0,0,0,0,0
2519,2021,Ghana,0,0,0,0,0
2520,2022,Ghana,0,0,0,0,0
2521,2023,Ghana,0,0,0,0,0
2522,1998,Sri Lanka,0,0,0,0,0
2523,1999,Sri Lanka,0,0,0,0,0
2524,2000,Sri Lanka,0,0,0,0,0
2525,2001,Sri Lanka,0,0,0,0,0
2526,2002,Sri Lanka,0,0,0,0,0
2527,2003,Sri Lanka,0,0,0,0,0
2528,2004,Sri Lanka,0,0,0,0,0
2529,2005,Sri Lanka,0,0,0,0,0
2530,2006,Sri Lanka,0,0,0,0,0
2531,2007,Sri Lanka,0,0,6825881,0,6825881
2532,2008,Sri Lanka,0,0,4669945,0,4669945
2533,2009,Sri Lanka,0,0,0,0,0
2534,2010,Sri Lanka,0,0,0,0,0
2535,2011,Sri Lanka,0,0,0,0,0
2536,2012,Sri Lanka,0,0,0,0,0
2537,2013,Sri Lanka,0,0,0,0,0
2538,2014,Sri Lanka,0,0,0,0,0
2539,2015,Sri Lanka,30996894,0,0,0,30996894
2540,2016,Sri Lanka,65718044,0,0,0,65718044
2541,2017,Sri Lanka,85229020,0,0,0,85229020
2542,2018,Sri Lanka,98292866,0,0,0,98292866
2543,2019,Sri Lanka,114358175,0,0,0,114358175
2544,2020,Sri Lanka,105578857,0,0,0,105578857
2545,2021,Sri Lanka,79954954,0,0,0,79954954
2546,2022,Sri Lanka,35486664,0,0,0,35486664
2547,2023,Sri Lanka,56224012,0,0,0,56224012
2548,1998,Bangladesh,0,0,0,0,0
2549,1999,Bangladesh,0,0,0,0,0
2550,2000,Bangladesh,0,0,0,0,0
2551,2001,Bangladesh,0,0,0,0,0
2552,2002,Bangladesh,0,0,0,0,0
2553,2003,Bangladesh,0,0,0,0,0
2554,2004,Bangladesh,0,0,0,0,0
2555,2005,Bangladesh,0,0,0,0,0
2556,2006,Bangladesh,0,0,0,0,0
2557,2007,Bangladesh,0,0,0,0,0
2558,2008,Bangladesh,0,0,0,0,0
2559,2009,Bangladesh,0,0,0,0,0
2560,2010,Bangladesh,0,0,0,0,0
2561,2011,Bangladesh,0,0,0,0,0
2562,2012,Bangladesh,0,0,0,0,0
2563,2013,Bangladesh,0,0,0,0,0
2564,2014,Bangladesh,0,0,0,0,0
2565,2015,Bangladesh,18778193,0,0,0,18778193
2566,2016,Bangladesh,111556190,0,0,0,111556190
2567,2017,Bangladesh,244415098,0,0,0,244415098
2568,2018,Bangladesh,202912454,0,0,0,202912454
2569,2019,Bangladesh,188121464,0,0,0,188121464
2570,2020,Bangladesh,248352686,0,0,0,248352686
2571,2021,Bangladesh,211897628,0,0,0,211897628
2572,2022,Bangladesh,155040236,0,0,0,155040236
2573,2023,Bangladesh,150560825,0,0,0,150560825
2574,1998,Saudi Arabia,0,0,0,0,0
2575,1999,Saudi Arabia,0,0,0,0,0
2576,2000,Saudi Arabia,0,0,0,0,0
2577,2001,Saudi Arabia,0,0,0,0,0
2578,2002,Saudi Arabia,0,0,0,0,0
2579,2003,Saudi Arabia,0,0,0,0,0
2580,2004,Saudi Arabia,0,0,0,0,0
2581,2005,Saudi Arabia,0,0,0,0,0
2582,2006,Saudi Arabia,0,0,11238097,0,11238097
2583,2007,Saudi Arabia,0,0,11195218,0,11195218
2584,2008,Saudi Arabia,0,0,766939,0,766939
2585,2009,Saudi Arabia,0,0,0,0,0
2586,2010,Saudi Arabia,0,0,0,0,0
2587,2011,Saudi Arabia,0,0,0,0,0
2588,2012,Saudi Arabia,0,0,0,0,0
2589,2013,Saudi Arabia,0,0,0,0,0
2590,2014,Saudi Arabia,0,0,0,0,0
2591,2015,Saudi Arabia,392481248,0,0,0,392481248
2592,2016,Saudi Arabia,456934992,0,0,0,456934992
2593,2017,Saudi Arabia,831516289,0,0,0,831516289
2594,2018,Saudi Arabia,1039423247,0,0,0,1039423247
2595,2019,Saudi Arabia,415450771,0,0,0,415450771
2596,2020,Saudi Arabia,194447545,0,0,0,194447545
2597,2021,Saudi Arabia,0,0,0,0,0
2598,2022,Saudi Arabia,0,0,0,0,0
2599,2023,Saudi Arabia,0,0,0,0,0
2600,1998,Uganda,0,0,0,0,0
2601,1999,Uganda,0,0,0,0,0
2602,2000,Uganda,0,0,0,0,0
2603,2001,Uganda,0,0,0,0,0
2604,2002,Uganda,0,0,0,0,0
2605,2003,Uganda,0,0,0,0,0
2606,2004,Uganda,0,0,0,0,0
2607,2005,Uganda,0,0,0,0,0
2608,2006,Uganda,0,0,0,0,0
2609,2007,Uganda,0,0,0,0,0
2610,2008,Uganda,0,0,0,0,0
2611,2009,Uganda,0,0,0,0,0
2612,2010,Uganda,0,0,0,0,0
2613,2011,Uganda,0,0,0,0,0
2614,2012,Uganda,0,0,0,0,0
2615,2013,Uganda,0,0,0,0,0
2616,2014,Uganda,0,0,0,0,0
2617,2015,Uganda,2310967,0,0,0,2310967
2618,2016,Uganda,1399833,0,0,0,1399833
2619,2017,Uganda,0,0,0,0,0
2620,2018,Uganda,0,0,0,0,0
2621,2019,Uganda,0,0,0,0,0
2622,2020,Uganda,0,0,0,0,0
2623,2021,Uganda,0,0,0,0,0
2624,2022,Uganda,0,0,0,0,0
2625,2023,Uganda,0,0,0,0,0
2626,1998,Botswana,0,0,0,0,0
2627,1999,Botswana,0,0,0,0,0
2628,2000,Botswana,0,0,0,0,0
2629,2001,Botswana,0,0,0,0,0
2630,2002,Botswana,0,0,0,0,0
2631,2003,Botswana,0,0,0,0,0
2632,2004,Botswana,0,0,0,0,0
2633,2005,Botswana,0,0,0,0,0
2634,2006,Botswana,0,0,0,0,0
2635,2007,Botswana,0,0,0,0,0
2636,2008,Botswana,0,0,0,0,0
2637,2009,Botswana,0,0,0,0,0
2638,2010,Botswana,0,0,0,0,0
2639,2011,Botswana,0,0,0,0,0
2640,2012,Botswana,0,0,0,0,0
2641,2013,Botswana,0,0,0,0,0
2642,2014,Botswana,0,0,0,0,0
2643,2015,Botswana,16750348,0,0,0,16750348
2644,2016,Botswana,5875860,0,0,0,5875860
2645,2017,Botswana,0,0,0,0,0
2646,2018,Botswana,0,0,0,0,0
2647,2019,Botswana,1370909,0,0,0,1370909
2648,2020,Botswana,851036,0,0,0,851036
2649,2021,Botswana,0,0,0,0,0
2650,2022,Botswana,0,0,0,0,0
2651,2023,Botswana,0,0,0,0,0
2652,1998,"Tanzania *, United Republic of",0,0,0,0,0
2653,1999,"Tanzania *, United Republic of",0,0,0,0,0
2654,2000,"Tanzania *, United Republic of",0,0,0,0,0
2655,2001,"Tanzania *, United Republic of",0,0,0,0,0
2656,2002,"Tanzania *, United Republic of",0,0,0,0,0
2657,2003,"Tanzania *, United Republic of",0,0,0,0,0
2658,2004,"Tanzania *, United Republic of",0,0,0,0,0
2659,2005,"Tanzania *, United Republic of",0,0,0,0,0
2660,2006,"Tanzania *, United Republic of",0,0,0,0,0
2661,2007,"Tanzania *, United Republic of",0,0,0,0,0
2662,2008,"Tanzania *, United Republic of",0,0,0,0,0
2663,2009,"Tanzania *, United Republic of",0,0,0,0,0
2664,2010,"Tanzania *, United Republic of",0,0,0,0,0
2665,2011,"Tanzania *, United Republic of",0,0,0,0,0
2666,2012,"Tanzania *, United Republic of",0,0,0,0,0
2667,2013,"Tanzania *, United Republic of",0,0,0,0,0
2668,2014,"Tanzania *, United Republic of",0,0,0,0,0
2669,2015,"Tanzania *, United Republic of",215410,0,0,0,215410
2670,2016,"Tanzania *, United Republic of",0,0,0,0,0
2671,2017,"Tanzania *, United Republic of",0,0,0,0,0
2672,2018,"Tanzania *, United Republic of",0,0,0,0,0
2673,2019,"Tanzania *, United Republic of",0,0,0,0,0
2674,2020,"Tanzania *, United Republic of",0,0,0,0,0
2675,2021,"Tanzania *, United Republic of",0,0,0,0,0
2676,2022,"Tanzania *, United Republic of",0,0,0,0,0
2677,2023,"Tanzania *, United Republic of",0,0,0,0,0
2678,1998,Tanzania,0,0,0,0,0
2679,1999,Tanzania,0,0,0,0,0
2680,2000,Tanzania,0,0,0,0,0
2681,2001,Tanzania,0,0,0,0,0
2682,2002,Tanzania,0,0,0,0,0
2683,2003,Tanzania,0,0,0,0,0
2684,2004,Tanzania,0,0,0,0,0
2685,2005,Tanzania,0,0,0,0,0
2686,2006,Tanzania,0,0,0,0,0
2687,2007,Tanzania,0,0,0,0,0
2688,2008,Tanzania,0,0,0,0,0
2689,2009,Tanzania,0,0,0,0,0
2690,2010,Tanzania,0,0,0,0,0
2691,2011,Tanzania,0,0,0,0,0
2692,2012,Tanzania,0,0,0,0,0
2693,2013,Tanzania,0,0,0,0,0
2694,2014,Tanzania,0,0,0,0,0
2695,2015,Tanzania,0,0,0,0,0
2696,2016,Tanzania,518548,0,0,0,518548
2697,2017,Tanzania,264922,0,0,0,264922
2698,2018,Tanzania,563979,0,0,0,563979
2699,2019,Tanzania,903598,0,0,0,903598
2700,2020,Tanzania,0,0,0,0,0
2701,2021,Tanzania,0,0,0,0,0
2702,2022,Tanzania,0,0,0,0,0
2703,2023,Tanzania,0,0,0,0,0
2704,1998,Latvia,0,0,0,0,0
2705,1999,Latvia,0,0,0,0,0
2706,2000,Latvia,0,0,0,0,0
2707,2001,Latvia,0,0,0,0,0
2708,2002,Latvia,0,0,0,0,0
2709,2003,Latvia,0,0,0,0,0
2710,2004,Latvia,0,0,0,0,0
2711,2005,Latvia,0,0,0,0,0
2712,2006,Latvia,0,0,27071478,0,27071478
2713,2007,Latvia,0,0,26518254,0,26518254
2714,2008,Latvia,0,0,6449447,0,6449447
2715,2009,Latvia,0,0,0,0,0
2716,2010,Latvia,0,0,0,0,0
2717,2011,Latvia,0,0,0,0,0
2718,2012,Latvia,0,0,0,0,0
2719,2013,Latvia,0,0,0,0,0
2720,2014,Latvia,0,0,33524729,0,33524729
2721,2015,Latvia,0,0,129925420,0,129925420
2722,2016,Latvia,1430569,0,231868022,0,233298591
2723,2017,Latvia,2900904,0,143569218,0,146470122
2724,2018,Latvia,2136068,0,172259004,0,174395072
2725,2019,Latvia,1980400,0,94103989,0,96084389
2726,2020,Latvia,2531106,0,0,0,2531106
2727,2021,Latvia,633078,0,76339873,0,76972951
2728,2022,Latvia,247287,0,128731501,0,128978788
2729,2023,Latvia,235539,0,363285303,0,363520842
2730,1998,Moldova,0,0,0,0,0
2731,1999,Moldova,0,0,0,0,0
2732,2000,Moldova,0,0,0,0,0
2733,2001,Moldova,0,0,0,0,0
2734,2002,Moldova,0,0,0,0,0
2735,2003,Moldova,0,0,0,0,0
2736,2004,Moldova,0,0,0,0,0
2737,2005,Moldova,0,0,0,0,0
2738,2006,Moldova,0,0,0,0,0
2739,2007,Moldova,0,0,0,0,0
2740,2008,Moldova,0,0,0,0,0
2741,2009,Moldova,0,0,0,0,0
2742,2010,Moldova,0,0,0,0,0
2743,2011,Moldova,0,0,0,0,0
2744,2012,Moldova,0,0,0,0,0
2745,2013,Moldova,0,0,0,0,0
2746,2014,Moldova,0,0,0,0,0
2747,2015,Moldova,0,0,0,0,0
2748,2016,Moldova,0,0,0,0,0
2749,2017,Moldova,0,0,0,0,0
2750,2018,Moldova,782692,0,0,0,782692
2751,2019,Moldova,3965016,0,0,0,3965016
2752,2020,Moldova,4211486,0,0,0,4211486
2753,2021,Moldova,5214962,0,0,0,5214962
2754,2022,Moldova,2911819,0,0,0,2911819
2755,2023,Moldova,3789191,0,0,0,3789191
2756,1998,Kyrgyzstan,0,0,0,0,0
2757,1999,Kyrgyzstan,0,0,0,0,0
2758,2000,Kyrgyzstan,0,0,0,0,0
2759,2001,Kyrgyzstan,0,0,0,0,0
2760,2002,Kyrgyzstan,0,0,0,0,0
2761,2003,Kyrgyzstan,0,0,0,0,0
2762,2004,Kyrgyzstan,0,0,0,0,0
2763,2005,Kyrgyzstan,0,0,0,0,0
2764,2006,Kyrgyzstan,0,0,0,0,0
2765,2007,Kyrgyzstan,0,0,0,0,0
2766,2008,Kyrgyzstan,0,0,0,0,0
2767,2009,Kyrgyzstan,0,0,0,0,0
2768,2010,Kyrgyzstan,0,0,0,0,0
2769,2011,Kyrgyzstan,0,0,0,0,0
2770,2012,Kyrgyzstan,0,0,0,0,0
2771,2013,Kyrgyzstan,0,0,0,0,0
2772,2014,Kyrgyzstan,0,0,0,0,0
2773,2015,Kyrgyzstan,0,0,0,0,0
2774,2016,Kyrgyzstan,0,0,0,0,0
2775,2017,Kyrgyzstan,0,0,0,0,0
2776,2018,Kyrgyzstan,0,0,0,0,0
2777,2019,Kyrgyzstan,6254643,0,0,0,6254643
2778,2020,Kyrgyzstan,4875263,0,0,0,4875263
2779,2021,Kyrgyzstan,4852635,0,0,0,4852635
2780,2022,Kyrgyzstan,2408996,0,0,0,2408996
2781,2023,Kyrgyzstan,1317482,0,0,0,1317482
2782,1998,Türkiye,0,0,0,0,0
2783,1999,Türkiye,0,0,0,0,0
2784,2000,Türkiye,0,0,0,0,0
2785,2001,Türkiye,0,0,0,0,0
2786,2002,Türkiye,0,0,0,0,0
2787,2003,Türkiye,0,0,0,0,0
2788,2004,Türkiye,0,0,0,0,0
2789,2005,Türkiye,0,0,0,0,0
2790,2006,Türkiye,0,0,0,0,0
2791,2007,Türkiye,0,0,0,0,0
2792,2008,Türkiye,0,0,0,0,0
2793,2009,Türkiye,0,0,0,0,0
2794,2010,Türkiye,0,0,0,0,0
2795,2011,Türkiye,0,0,0,0,0
2796,2012,Türkiye,0,0,0,0,0
2797,2013,Türkiye,0,0,0,0,0
2798,2014,Türkiye,0,0,0,0,0
2799,2015,Türkiye,0,0,0,0,0
2800,2016,Türkiye,0,0,0,0,0
2801,2017,Türkiye,0,0,0,0,0
2802,2018,Türkiye,0,0,0,0,0
2803,2019,Türkiye,0,0,0,0,0
2804,2020,Türkiye,0,0,0,0,0
2805,2021,Türkiye,0,0,0,0,0
2806,2022,Türkiye,0,0,0,0,0
2807,2023,Türkiye,1306058130,0,0,0,1306058130
2808,1998,International Organisations,0,0,583838134,0,583838134
2809,1999,International Organisations,0,0,565272449,0,565272449
2810,2000,International Organisations,0,0,398495678,0,398495678
2811,2001,International Organisations,0,0,468163762,0,468163762
2812,2002,International Organisations,0,0,595807615,0,595807615
2813,2003,International Organisations,0,0,0,0,0
2814,2004,International Organisations,0,0,1791923165,0,1791923165
2815,2005,International Organisations,0,0,2779899474,0,2779899474
2816,2006,International Organisations,0,0,7648882153,0,7648882153
2817,2007,International Organisations,0,0,12205027114,0,12205027114
2818,2008,International Organisations,0,0,8369529239,0,8369529239
2819,2009,International Organisations,0,0,4615488499,0,4615488499
2820,2010,International Organisations,0,0,4818316998,0,4818316998
2821,2011,International Organisations,0,0,6086808643,0,6086808643
2822,2012,International Organisations,0,0,6065344406,0,6065344406
2823,2013,International Organisations,0,0,7888232997,0,7888232997
2824,2014,International Organisations,0,0,8655511546,0,8655511546
2825,2015,International Organisations,0,0,8184087328,0,8184087328
2826,2016,International Organisations,0,0,6793202681,0,6793202681
2827,2017,International Organisations,0,0,7014526379,0,7014526379
2828,2018,International Organisations,0,0,6629822321,0,6629822321
2829,2019,International Organisations,0,0,5666078059,0,5666078059
2830,2020,International Organisations,0,0,6675495558,0,6675495558
2831,2021,International Organisations,0,0,8010606503,0,8010606503
2832,2022,International Organisations,0,0,9161849575,0,9161849575
2833,2023,International Organisations,0,0,9678304727,0,9678304727
2834,1998,El Salvador,0,0,0,0,0
2835,1999,El Salvador,0,0,0,0,0
2836,2000,El Salvador,0,0,0,0,0
2837,2001,El Salvador,0,0,0,0,0
2838,2002,El Salvador,0,0,0,0,0
2839,2003,El Salvador,0,0,0,0,0
2840,2004,El Salvador,0,0,0,0,0
2841,2005,El Salvador,0,0,876265,0,876265
2842,2006,El Salvador,0,0,0,0,0
2843,2007,El Salvador,0,0,7886187,0,7886187
2844,2008,El Salvador,0,0,7011181,0,7011181
2845,2009,El Salvador,0,0,0,0,0
2846,2010,El Salvador,0,0,0,0,0
2847,2011,El Salvador,0,0,0,0,0
2848,2012,El Salvador,0,0,0,0,0
2849,2013,El Salvador,0,0,0,0,0
2850,2014,El Salvador,0,0,0,0,0
2851,2015,El Salvador,0,0,0,0,0
2852,2016,El Salvador,0,0,0,0,0
2853,2017,El Salvador,0,0,0,0,0
2854,2018,El Salvador,0,0,0,0,0
2855,2019,El Salvador,0,0,0,0,0
2856,2020,El Salvador,0,0,0,0,0
2857,2021,El Salvador,0,0,0,0,0
2858,2022,El Salvador,0,0,0,0,0
2859,2023,El Salvador,0,0,0,0,0
2860,1998,Venezuela,0,0,0,0,0
2861,1999,Venezuela,0,0,0,0,0
2862,2000,Venezuela,0,0,0,0,0
2863,2001,Venezuela,0,0,0,0,0
2864,2002,Venezuela,0,0,0,0,0
2865,2003,Venezuela,0,0,0,0,0
2866,2004,Venezuela,0,0,0,0,0
2867,2005,Venezuela,0,0,1213875,0,1213875
2868,2006,Venezuela,0,0,19173611,0,19173611
2869,2007,Venezuela,0,0,7987195,0,7987195
2870,2008,Venezuela,0,0,18555583,0,18555583
2871,2009,Venezuela,0,0,0,0,0
2872,2010,Venezuela,0,0,0,0,0
2873,2011,Venezuela,0,0,0,0,0
2874,2012,Venezuela,0,0,0,0,0
2875,2013,Venezuela,0,0,0,0,0
2876,2014,Venezuela,0,0,0,0,0
2877,2015,Venezuela,0,0,0,0,0
2878,2016,Venezuela,0,0,0,0,0
2879,2017,Venezuela,0,0,0,0,0
2880,2018,Venezuela,0,0,0,0,0
2881,2019,Venezuela,0,0,0,0,0
2882,2020,Venezuela,0,0,0,0,0
2883,2021,Venezuela,0,0,0,0,0
2884,2022,Venezuela,0,0,0,0,0
2885,2023,Venezuela,0,0,0,0,0
2886,1998,Guernsey,0,0,0,0,0
2887,1999,Guernsey,0,0,0,0,0
2888,2000,Guernsey,0,0,0,0,0
2889,2001,Guernsey,0,0,0,0,0
2890,2002,Guernsey,0,0,0,0,0
2891,2003,Guernsey,0,0,0,0,0
2892,2004,Guernsey,0,0,0,0,0
2893,2005,Guernsey,0,0,0,0,0
2894,2006,Guernsey,0,0,5871812,0,5871812
2895,2007,Guernsey,0,0,5862120,0,5862120
2896,2008,Guernsey,0,0,58536511,0,58536511
2897,2009,Guernsey,0,0,8804486,0,8804486
2898,2010,Guernsey,0,0,4798219,0,4798219
2899,2011,Guernsey,0,0,0,0,0
2900,2012,Guernsey,0,0,0,0,0
2901,2013,Guernsey,0,0,0,0,0
2902,2014,Guernsey,0,0,0,0,0
2903,2015,Guernsey,0,0,0,0,0
2904,2016,Guernsey,0,0,0,0,0
2905,2017,Guernsey,0,0,0,0,0
2906,2018,Guernsey,0,0,0,0,0
2907,2019,Guernsey,0,0,0,0,0
2908,2020,Guernsey,0,0,0,0,0
2909,2021,Guernsey,0,0,0,0,0
2910,2022,Guernsey,0,0,0,0,0
2911,2023,Guernsey,0,0,0,0,0
2912,1998,Trinidad and Tobago,0,0,0,0,0
2913,1999,Trinidad and Tobago,0,0,0,0,0
2914,2000,Trinidad and Tobago,0,0,0,0,0
2915,2001,Trinidad and Tobago,0,0,0,0,0
2916,2002,Trinidad and Tobago,0,0,0,0,0
2917,2003,Trinidad and Tobago,0,0,0,0,0
2918,2004,Trinidad and Tobago,0,0,0,0,0
2919,2005,Trinidad and Tobago,0,0,0,0,0
2920,2006,Trinidad and Tobago,0,0,0,0,0
2921,2007,Trinidad and Tobago,0,0,6595754,0,6595754
2922,2008,Trinidad and Tobago,0,0,0,0,0
2923,2009,Trinidad and Tobago,0,0,5108997,0,5108997
2924,2010,Trinidad and Tobago,0,0,8001338,0,8001338
2925,2011,Trinidad and Tobago,0,0,7068204,0,7068204
2926,2012,Trinidad and Tobago,0,0,7247641,0,7247641
2927,2013,Trinidad and Tobago,0,0,6235014,0,6235014
